Id,Temperature (K),Star type,Star type (name),Star color,Spectral Class
158,20120,3,Main Sequence,Blue White,B
159,13023,3,Main Sequence,Blue White,A
160,37800,3,Main Sequence,Blue,O
161,25390,4,Supergiant,Blue,O
162,11567,4,Supergiant,Blue,O
163,12675,4,Supergiant,Blue,O
164,5752,4,Supergiant,Blue,O
165,8927,4,Supergiant,Blue,O
166,7282,4,Supergiant,Blue,O
167,19923,4,Supergiant,Blue,O
168,26373,4,Supergiant,Blue,O
169,17383,4,Supergiant,Blue,O
170,9373,4,Supergiant,Blue,O
171,3570,5,Hypergiant,Red,M
172,3500,5,Hypergiant,Red,M
173,4287,5,Hypergiant,Orange,K
174,26000,5,Hypergiant,Blue,B
175,3600,5,Hypergiant,Red,M
176,3614,5,Hypergiant,Red,M
177,18000,5,Hypergiant,Blue,O
178,11000,5,Hypergiant,Blue White,B
179,12100,5,Hypergiant,Blue White,B
180,24490,5,Hypergiant,Blue White,B
181,2831,0,Brown Dwarf,Red,M
182,2914,0,Brown Dwarf,Red,M
183,3419,0,Brown Dwarf,Red,M
184,3218,0,Brown Dwarf,Red,M
185,3453,0,Brown Dwarf,Red,M
186,2889,0,Brown Dwarf,Red,M
187,2968,0,Brown Dwarf,Red,M
188,3484,0,Brown Dwarf,Red,M
189,2778,0,Brown Dwarf,Red,M
190,3523,0,Brown Dwarf,Red,M
191,3462,1,Red Dwarf,Red,M
192,3257,1,Red Dwarf,Red,M
193,2994,1,Red Dwarf,Red,M
194,3212,1,Red Dwarf,Red,M
195,3523,1,Red Dwarf,Red,M
196,3598,1,Red Dwarf,Red,M
197,3142,1,Red Dwarf,Red,M
198,3496,1,Red Dwarf,Red,M
199,3324,1,Red Dwarf,Red,M
200,3463,1,Red Dwarf,Red,M
201,16790,2,White Dwarf,Blue,B
202,15680,2,White Dwarf,Blue,B
203,14982,2,White Dwarf,Blue,B
204,13340,2,White Dwarf,Blue,B
205,18340,2,White Dwarf,Blue,B
206,19920,2,White Dwarf,Blue,B
207,24020,2,White Dwarf,Blue,B
208,23092,2,White Dwarf,Blue,B
209,17920,2,White Dwarf,Blue,B
210,19360,2,White Dwarf,Blue,B
211,22350,3,Main Sequence,Blue White,B
212,10012,3,Main Sequence,Blue White,A
213,13089,3,Main Sequence,Blue White,A
214,22012,3,Main Sequence,Blue White,B
215,34190,3,Main Sequence,Blue,O
216,32460,3,Main Sequence,Blue,O
217,9320,3,Main Sequence,Blue White,A
218,19400,3,Main Sequence,Blue White,B
219,17140,3,Main Sequence,Blue White,B
220,8250,3,Main Sequence,Yellow White,F
221,23678,4,Supergiant,Blue,O
222,12749,4,Supergiant,Blue,O
223,9383,4,Supergiant,Blue,O
224,23440,4,Supergiant,Blue,O
225,16787,4,Supergiant,Blue,O
226,18734,4,Supergiant,Blue,O
227,9892,4,Supergiant,Blue,O
228,10930,4,Supergiant,Blue,O
229,23095,4,Supergiant,Blue,O
230,21738,4,Supergiant,Blue,O
231,24145,5,Hypergiant,Blue White,B
232,38234,5,Hypergiant,Blue,O
233,32489,5,Hypergiant,Blue,O
234,27739,5,Hypergiant,Blue White,B
235,21904,5,Hypergiant,Blue White,B
236,38940,5,Hypergiant,Blue,O
237,30839,5,Hypergiant,Blue,O
238,8829,5,Hypergiant,White,A
239,9235,5,Hypergiant,White,A
240,37882,5,Hypergiant,Blue,O
